Location,Borough,Town,OS,Postalcode,location,point,latitude,longitude
Abbey Wood,"Bexley, Greenwich ",LONDON,TQ465785,SE2,"Bexley Road, Avery Hill, Royal Borough of Greenwich, London, Greater London, England, SE9 2PR, United Kingdom","(51.4510531, 0.0790997, 0.0)",51.4510531,0.0790997
Acton,"Ealing, Hammersmith and Fulham",LONDON,TQ205805,W3,"Ealing, Hammersmith & West London College, St Paul's Court, West Kensington, London Borough of Hammersmith and Fulham, London, Greater London, England, W14 9BL, United Kingdom","(51.49153695, -0.21497089652160112, 0.0)",51.49153695,-0.214970897
Acton,"Ealing, Hammersmith and Fulham",LONDON,TQ205805,W4,"Ealing, Hammersmith & West London College, St Paul's Court, West Kensington, London Borough of Hammersmith and Fulham, London, Greater London, England, W14 9BL, United Kingdom","(51.49153695, -0.21497089652160112, 0.0)",51.49153695,-0.214970897
Aldgate,City,LONDON,TQ334813,EC3,"City of London, Greater London, England, United Kingdom","(51.5156177, -0.0919983, 0.0)",51.5156177,-0.0919983
Aldwych,Westminster,LONDON,TQ307810,WC2,"Westminster, Millbank, City of Westminster, London, Greater London, England, SW1P 3JX, United Kingdom","(51.5004439, -0.1265398, 0.0)",51.5004439,-0.1265398
Anerley,Bromley,LONDON,TQ345695,SE20,"Bromley, London, Greater London, England, BR1 1EY, United Kingdom","(51.4028046, 0.0148142, 0.0)",51.4028046,0.0148142
Angel,Islington,LONDON,TQ345665,EC1,"Islington, London, Greater London, England, N1, United Kingdom","(51.5384287, -0.0999051, 0.0)",51.5384287,-0.0999051
Angel,Islington,LONDON,TQ345665,N1,"Islington, London, Greater London, England, N1, United Kingdom","(51.5384287, -0.0999051, 0.0)",51.5384287,-0.0999051
Archway,Islington,LONDON,TQ285875,N19,"Islington, London, Greater London, England, N1, United Kingdom","(51.5384287, -0.0999051, 0.0)",51.5384287,-0.0999051
Arkley,Barnet,"BARNET, LONDON",TQ225955,EN5,"Chipping Barnet, London, Greater London, England, EN5 5SB, United Kingdom","(51.65309, -0.2002261, 0.0)",51.65309,-0.2002261
Arkley,Barnet,"BARNET, LONDON",TQ225955,NW7,"Chipping Barnet, London, Greater London, England, EN5 5SB, United Kingdom","(51.65309, -0.2002261, 0.0)",51.65309,-0.2002261
Arnos Grove,Enfield,LONDON,TQ295925,N11,"Enfield, London, Greater London, England, EN2 6LD, United Kingdom","(51.6520851, -0.0810175, 0.0)",51.6520851,-0.0810175
Arnos Grove,Enfield,LONDON,TQ295925,N14,"Enfield, London, Greater London, England, EN2 6LD, United Kingdom","(51.6520851, -0.0810175, 0.0)",51.6520851,-0.0810175
Balham,Wandsworth,LONDON,TQ285735,SW12,"Wandsworth, London, Greater London, England, SW18 1UJ, United Kingdom","(51.4570271, -0.1932607, 0.0)",51.4570271,-0.1932607
Bankside,Southwark,LONDON,TQ325795,SE1,"Southwark, London Borough of Southwark, London, Greater London, England, SE1 0QB, United Kingdom","(51.5029222, -0.103458, 0.0)",51.5029222,-0.103458
Barbican,City,LONDON,TQ322818,EC1,"City of London, Greater London, England, United Kingdom","(51.5156177, -0.0919983, 0.0)",51.5156177,-0.0919983
Barbican,City,LONDON,TQ322818,EC2,"City of London, Greater London, England, United Kingdom","(51.5156177, -0.0919983, 0.0)",51.5156177,-0.0919983
Barnes,Richmond upon Thames,LONDON,TQ225765,SW13,"London Borough of Richmond upon Thames, London, Greater London, England, United Kingdom","(51.4405529, -0.3076394377337949, 0.0)",51.4405529,-0.307639438
Barnet Gate,Barnet,"LONDON, BARNET",TQ218952,NW7,"Chipping Barnet, London, Greater London, England, EN5 5SB, United Kingdom","(51.65309, -0.2002261, 0.0)",51.65309,-0.2002261
Barnet Gate,Barnet,"LONDON, BARNET",TQ218952,EN5,"Chipping Barnet, London, Greater London, England, EN5 5SB, United Kingdom","(51.65309, -0.2002261, 0.0)",51.65309,-0.2002261
Barnsbury,Islington,LONDON,TQ305845,N1,"Islington, London, Greater London, England, N1, United Kingdom","(51.5384287, -0.0999051, 0.0)",51.5384287,-0.0999051
Battersea,Wandsworth,LONDON,TQ285765,SW11,"Wandsworth, London, Greater London, England, SW18 1UJ, United Kingdom","(51.4570271, -0.1932607, 0.0)",51.4570271,-0.1932607
Bayswater,Westminster,LONDON,TQ255805,W2,"Westminster, Millbank, City of Westminster, London, Greater London, England, SW1P 3JX, United Kingdom","(51.5004439, -0.1265398, 0.0)",51.5004439,-0.1265398
Beckenham,Bromley,"BECKENHAM, LONDON",TQ375695,BR3,"Bromley, London, Greater London, England, BR1 1EY, United Kingdom","(51.4028046, 0.0148142, 0.0)",51.4028046,0.0148142
Beckenham,Bromley,"BECKENHAM, LONDON",TQ375695,SE20,"Bromley, London, Greater London, England, BR1 1EY, United Kingdom","(51.4028046, 0.0148142, 0.0)",51.4028046,0.0148142
Beckton,Newham,"LONDON, BARKING",TQ435815,E6,"London Borough of Newham, London, Greater London, England, United Kingdom","(51.52999955, 0.02931796029382208, 0.0)",51.52999955,0.02931796
Beckton,Newham,"LONDON, BARKING",TQ435815,E16,"London Borough of Newham, London, Greater London, England, United Kingdom","(51.52999955, 0.02931796029382208, 0.0)",51.52999955,0.02931796
Beckton,Newham,"LONDON, BARKING",TQ435815,IG11,"London Borough of Newham, London, Greater London, England, United Kingdom","(51.52999955, 0.02931796029382208, 0.0)",51.52999955,0.02931796
Bedford Park,Ealing,LONDON,TQ208793,W4,"Ealing, London, Greater London, England, W5 5DG, United Kingdom","(51.5126553, -0.3051952, 0.0)",51.5126553,-0.3051952
Belgravia,Westminster,LONDON,TQ283792,SW1,"Westminster, Millbank, City of Westminster, London, Greater London, England, SW1P 3JX, United Kingdom","(51.5004439, -0.1265398, 0.0)",51.5004439,-0.1265398
Bellingham,Lewisham,LONDON,TQ375715,SE6,"Lewisham, London, Greater London, England, SE13 6BB, United Kingdom","(51.4624325, -0.0101331, 0.0)",51.4624325,-0.0101331
Belsize Park,Camden,LONDON,TQ273845,NW3,"Camden, Camden County, New Jersey, United States","(39.9448402, -75.1198911, 0.0)",39.9448402,-75.1198911
Bermondsey,Southwark,LONDON,TQ335795,SE1,"Southwark, London Borough of Southwark, London, Greater London, England, SE1 0QB, United Kingdom","(51.5029222, -0.103458, 0.0)",51.5029222,-0.103458
Bethnal Green,Tower Hamlets,LONDON,TQ345825,E2,"Tower Hamlets, Dover, Kent, South East England, England, CT17 0BH, United Kingdom","(51.1288633, 1.2986686, 0.0)",51.1288633,1.2986686
Bexleyheath (also Bexley New Town),Bexley,"BEXLEYHEATH, LONDON",TQ485755,DA6,"Bexley, Franklin County, Ohio, 43209, United States","(39.9692378, -82.936864, 0.0)",39.9692378,-82.936864
Bexleyheath (also Bexley New Town),Bexley,"BEXLEYHEATH, LONDON",TQ485755,DA7,"Bexley, Franklin County, Ohio, 43209, United States","(39.9692378, -82.936864, 0.0)",39.9692378,-82.936864
Bexleyheath (also Bexley New Town),Bexley,"BEXLEYHEATH, LONDON",TQ485755,SE2,"Bexley, Franklin County, Ohio, 43209, United States","(39.9692378, -82.936864, 0.0)",39.9692378,-82.936864
Blackfriars,City,LONDON,TQ318808,EC4,"City of London, Greater London, England, United Kingdom","(51.5156177, -0.0919983, 0.0)",51.5156177,-0.0919983
Blackheath,Lewisham,LONDON,TQ395765,SE3,"Lewisham, London, Greater London, England, SE13 6BB, United Kingdom","(51.4624325, -0.0101331, 0.0)",51.4624325,-0.0101331
Blackheath Royal Standard,Greenwich,LONDON,TQ399753,SE3,"Greenwich, London, Greater London, England, SE10 9HF, United Kingdom","(51.4820845, -0.0045417, 0.0)",51.4820845,-0.0045417
Blackheath Royal Standard,Greenwich,LONDON,TQ399753,SE12,"Greenwich, London, Greater London, England, SE10 9HF, United Kingdom","(51.4820845, -0.0045417, 0.0)",51.4820845,-0.0045417
Blackwall,Tower Hamlets,LONDON,TQ385805,E14,"Tower Hamlets, Dover, Kent, South East England, England, CT17 0BH, United Kingdom","(51.1288633, 1.2986686, 0.0)",51.1288633,1.2986686
Bloomsbury,Camden,LONDON,TQ299820,WC1,"Camden, Camden County, New Jersey, United States","(39.9448402, -75.1198911, 0.0)",39.9448402,-75.1198911
Bounds Green,Haringey,LONDON,TQ298914,N11,"London Borough of Haringey, London, Greater London, England, United Kingdom","(51.587929849999995, -0.10541010599099046, 0.0)",51.58792985,-0.105410106
Bounds Green,Haringey,LONDON,TQ298914,N22,"London Borough of Haringey, London, Greater London, England, United Kingdom","(51.587929849999995, -0.10541010599099046, 0.0)",51.58792985,-0.105410106
Bow,Tower Hamlets,LONDON,TQ365825,E3,"Tower Hamlets, Dover, Kent, South East England, England, CT17 0BH, United Kingdom","(51.1288633, 1.2986686, 0.0)",51.1288633,1.2986686
Bowes Park,Haringey,LONDON,TQ305915,N22,"London Borough of Haringey, London, Greater London, England, United Kingdom","(51.587929849999995, -0.10541010599099046, 0.0)",51.58792985,-0.105410106
Brent Cross,Barnet,LONDON,TQ230874,NW2,"Chipping Barnet, London, Greater London, England, EN5 5SB, United Kingdom","(51.65309, -0.2002261, 0.0)",51.65309,-0.2002261
Brent Cross,Barnet,LONDON,TQ230874,NW4,"Chipping Barnet, London, Greater London, England, EN5 5SB, United Kingdom","(51.65309, -0.2002261, 0.0)",51.65309,-0.2002261
Brent Park,Brent,LONDON,TQ209852,NW10,"Brent, Bibb County, Alabama, 35034, United States","(32.9373463, -87.1647184, 0.0)",32.9373463,-87.1647184
Brixton,Lambeth,LONDON,TQ315755,SW2,"Lambeth, London Borough of Lambeth, London, Greater London, England, SE1 7GD, United Kingdom","(51.5013012, -0.117287, 0.0)",51.5013012,-0.117287
Brixton,Lambeth,LONDON,TQ315755,SW9,"Lambeth, London Borough of Lambeth, London, Greater London, England, SE1 7GD, United Kingdom","(51.5013012, -0.117287, 0.0)",51.5013012,-0.117287
Brixton,Lambeth,LONDON,TQ315755,SE5,"Lambeth, London Borough of Lambeth, London, Greater London, England, SE1 7GD, United Kingdom","(51.5013012, -0.117287, 0.0)",51.5013012,-0.117287
Brockley,Lewisham,LONDON,TQ365745,SE4,"Lewisham, London, Greater London, England, SE13 6BB, United Kingdom","(51.4624325, -0.0101331, 0.0)",51.4624325,-0.0101331
Bromley (also Bromley-by-Bow),Tower Hamlets,LONDON,TQ375825,E3,"Tower Hamlets, Dover, Kent, South East England, England, CT17 0BH, United Kingdom","(51.1288633, 1.2986686, 0.0)",51.1288633,1.2986686
Brompton,"Kensington and Chelsea, Hammersmith and Fulham",LONDON,TQ272788,SW3,"Fulham Road, Lot's Village, Worlds End, Royal Borough of Kensington and Chelsea, London, Greater London, England, SW10 9UU, United Kingdom","(51.4813171, -0.1877724, 0.0)",51.4813171,-0.1877724
Brondesbury,Brent,LONDON,TQ245845,NW6,"Brent, Bibb County, Alabama, 35034, United States","(32.9373463, -87.1647184, 0.0)",32.9373463,-87.1647184
Brunswick Park,Barnet,LONDON,TQ280932,N11,"Chipping Barnet, London, Greater London, England, EN5 5SB, United Kingdom","(51.65309, -0.2002261, 0.0)",51.65309,-0.2002261
"Burroughs, The",Barnet,LONDON,TQ227891,NW4,"Chipping Barnet, London, Greater London, England, EN5 5SB, United Kingdom","(51.65309, -0.2002261, 0.0)",51.65309,-0.2002261
Camberwell,Southwark,LONDON,TQ325767,SE5,"Southwark, London Borough of Southwark, London, Greater London, England, SE1 0QB, United Kingdom","(51.5029222, -0.103458, 0.0)",51.5029222,-0.103458
Cambridge Heath,Tower Hamlets,LONDON,TQ348832,E2,"Tower Hamlets, Dover, Kent, South East England, England, CT17 0BH, United Kingdom","(51.1288633, 1.2986686, 0.0)",51.1288633,1.2986686
Camden Town,Camden,LONDON,TQ295845,NW1,"Camden, Camden County, New Jersey, United States","(39.9448402, -75.1198911, 0.0)",39.9448402,-75.1198911
Canary Wharf,Tower Hamlets,LONDON,TQ375802,E14,"Tower Hamlets, Dover, Kent, South East England, England, CT17 0BH, United Kingdom","(51.1288633, 1.2986686, 0.0)",51.1288633,1.2986686
Cann Hall,Waltham Forest,LONDON,TQ395875,E11,"The Forest, Upper Walthamstow, London Borough of Waltham Forest, London, Greater London, England, E17, United Kingdom","(51.5851424, 0.009494, 0.0)",51.5851424,0.009494
Canning Town,Newham,LONDON,TQ405815,E16,"London Borough of Newham, London, Greater London, England, United Kingdom","(51.52999955, 0.02931796029382208, 0.0)",51.52999955,0.02931796
Canonbury,Islington,LONDON,TQ325845,N1,"Islington, London, Greater London, England, N1, United Kingdom","(51.5384287, -0.0999051, 0.0)",51.5384287,-0.0999051
Castelnau,Richmond upon Thames,LONDON,TQ226776,SW13,"London Borough of Richmond upon Thames, London, Greater London, England, United Kingdom","(51.4405529, -0.3076394377337949, 0.0)",51.4405529,-0.307639438
Catford,Lewisham,LONDON,TQ385735,SE6,"Lewisham, London, Greater London, England, SE13 6BB, United Kingdom","(51.4624325, -0.0101331, 0.0)",51.4624325,-0.0101331
Chalk Farm,Camden,LONDON,TQ281844,NW1,"Camden, Camden County, New Jersey, United States","(39.9448402, -75.1198911, 0.0)",39.9448402,-75.1198911
Charing Cross,Westminster,LONDON,TQ305805,WC2,"Westminster, Millbank, City of Westminster, London, Greater London, England, SW1P 3JX, United Kingdom","(51.5004439, -0.1265398, 0.0)",51.5004439,-0.1265398
Charlton,Greenwich,LONDON,TQ415785,SE7,"Greenwich, London, Greater London, England, SE10 9HF, United Kingdom","(51.4820845, -0.0045417, 0.0)",51.4820845,-0.0045417
Chelsea,Kensington and Chelsea,LONDON,TQ275775,SW3,"Chelsea, Royal Borough of Kensington and Chelsea, London, Greater London, England, SW3 5UA, United Kingdom","(51.4875167, -0.1687007, 0.0)",51.4875167,-0.1687007
Childs Hill,Barnet,LONDON,TQ245865,NW2,"Chipping Barnet, London, Greater London, England, EN5 5SB, United Kingdom","(51.65309, -0.2002261, 0.0)",51.65309,-0.2002261
Chinatown,Westminster,LONDON,TQ297808,W1,"Westminster, Millbank, City of Westminster, London, Greater London, England, SW1P 3JX, United Kingdom","(51.5004439, -0.1265398, 0.0)",51.5004439,-0.1265398
Chinbrook,Lewisham,LONDON,TQ411722,SE12,"Lewisham, London, Greater London, England, SE13 6BB, United Kingdom","(51.4624325, -0.0101331, 0.0)",51.4624325,-0.0101331
Chingford,Waltham Forest,LONDON,TQ395945,E4,"The Forest, Upper Walthamstow, London Borough of Waltham Forest, London, Greater London, England, E17, United Kingdom","(51.5851424, 0.009494, 0.0)",51.5851424,0.009494
Church End,Brent,LONDON,TQ205785,NW10,"Brent, Bibb County, Alabama, 35034, United States","(32.9373463, -87.1647184, 0.0)",32.9373463,-87.1647184
Church End,Barnet,LONDON,TQ255905,N3,"Chipping Barnet, London, Greater London, England, EN5 5SB, United Kingdom","(51.65309, -0.2002261, 0.0)",51.65309,-0.2002261
Clapham,"Lambeth, Wandsworth",LONDON,TQ295755,SW4,"Wandsworth Road, Heswall Close, Clapham Park, London Borough of Lambeth, London, Greater London, England, SW4 6LG, United Kingdom","(51.4699602, -0.1384355, 0.0)",51.4699602,-0.1384355
Clerkenwell,Islington,LONDON,TQ315825,EC1,"Islington, London, Greater London, England, N1, United Kingdom","(51.5384287, -0.0999051, 0.0)",51.5384287,-0.0999051
Colindale,Barnet,LONDON,TQ213897,NW9,"Chipping Barnet, London, Greater London, England, EN5 5SB, United Kingdom","(51.65309, -0.2002261, 0.0)",51.65309,-0.2002261
Colliers Wood,Merton,LONDON,TQ275705,SW19,"London Borough of Merton, London, Greater London, England, United Kingdom","(51.41086985, -0.18809708858824303, 0.0)",51.41086985,-0.188097089
Colney Hatch,Barnet,LONDON,TQ278918,N11,"Chipping Barnet, London, Greater London, England, EN5 5SB, United Kingdom","(51.65309, -0.2002261, 0.0)",51.65309,-0.2002261
Colney Hatch,Barnet,LONDON,TQ278918,N10,"Chipping Barnet, London, Greater London, England, EN5 5SB, United Kingdom","(51.65309, -0.2002261, 0.0)",51.65309,-0.2002261
Covent Garden,Westminster,LONDON,TQ303809,WC2,"Westminster, Millbank, City of Westminster, London, Greater London, England, SW1P 3JX, United Kingdom","(51.5004439, -0.1265398, 0.0)",51.5004439,-0.1265398
Cricklewood,"Barnet, Brent, Camden",LONDON,TQ235855,NW2,"Brent Place, High Barnet, London Borough of Barnet, London, Greater London, England, EN5 2DR, United Kingdom","(51.6456892, -0.1950367, 0.0)",51.6456892,-0.1950367
Crofton Park,Lewisham,LONDON,TQ367744,SE4,"Lewisham, London, Greater London, England, SE13 6BB, United Kingdom","(51.4624325, -0.0101331, 0.0)",51.4624325,-0.0101331
Crossness,Bexley,LONDON,TQ480800,SE2,"Bexley, Franklin County, Ohio, 43209, United States","(39.9692378, -82.936864, 0.0)",39.9692378,-82.936864
Crouch End,Haringey,LONDON,TQ295885,N8,"London Borough of Haringey, London, Greater London, England, United Kingdom","(51.587929849999995, -0.10541010599099046, 0.0)",51.58792985,-0.105410106
Crystal Palace,Bromley,LONDON,TQ341708,SE19,"Bromley, London, Greater London, England, BR1 1EY, United Kingdom","(51.4028046, 0.0148142, 0.0)",51.4028046,0.0148142
Crystal Palace,Bromley,LONDON,TQ341708,SE20,"Bromley, London, Greater London, England, BR1 1EY, United Kingdom","(51.4028046, 0.0148142, 0.0)",51.4028046,0.0148142
Crystal Palace,Bromley,LONDON,TQ341708,SE26,"Bromley, London, Greater London, England, BR1 1EY, United Kingdom","(51.4028046, 0.0148142, 0.0)",51.4028046,0.0148142
Cubitt Town,Tower Hamlets,LONDON,TQ385795,E14,"Tower Hamlets, Dover, Kent, South East England, England, CT17 0BH, United Kingdom","(51.1288633, 1.2986686, 0.0)",51.1288633,1.2986686
Custom House,Newham,LONDON,TQ408807,E16,"London Borough of Newham, London, Greater London, England, United Kingdom","(51.52999955, 0.02931796029382208, 0.0)",51.52999955,0.02931796
Dalston,Hackney,LONDON,TQ345845,E8,"Hackney, London, Greater London, England, E9 6QW, United Kingdom","(51.5432402, -0.0493621, 0.0)",51.5432402,-0.0493621
De Beauvoir Town,Islington,LONDON,TQ332842,N1,"Islington, London, Greater London, England, N1, United Kingdom","(51.5384287, -0.0999051, 0.0)",51.5384287,-0.0999051
Denmark Hill,Southwark,LONDON,TQ327760,SE5,"Southwark, London Borough of Southwark, London, Greater London, England, SE1 0QB, United Kingdom","(51.5029222, -0.103458, 0.0)",51.5029222,-0.103458
Deptford,Lewisham,LONDON,TQ365775,SE8,"Lewisham, London, Greater London, England, SE13 6BB, United Kingdom","(51.4624325, -0.0101331, 0.0)",51.4624325,-0.0101331
Dollis Hill,Brent,LONDON,TQ225865,NW2,"Brent, Bibb County, Alabama, 35034, United States","(32.9373463, -87.1647184, 0.0)",32.9373463,-87.1647184
Dulwich,Southwark,LONDON,TQ345725,SE21,"Southwark, London Borough of Southwark, London, Greater London, England, SE1 0QB, United Kingdom","(51.5029222, -0.103458, 0.0)",51.5029222,-0.103458
Ealing,Ealing,LONDON,TQ175805,W5,"Ealing, London, Greater London, England, W5 5DG, United Kingdom","(51.5126553, -0.3051952, 0.0)",51.5126553,-0.3051952
Ealing,Ealing,LONDON,TQ175805,W13,"Ealing, London, Greater London, England, W5 5DG, United Kingdom","(51.5126553, -0.3051952, 0.0)",51.5126553,-0.3051952
Earls Court,Kensington and Chelsea,LONDON,TQ254784,SW5,"Chelsea, Royal Borough of Kensington and Chelsea, London, Greater London, England, SW3 5UA, United Kingdom","(51.4875167, -0.1687007, 0.0)",51.4875167,-0.1687007
Earls Court,Kensington and Chelsea,LONDON,TQ254784,SW10,"Chelsea, Royal Borough of Kensington and Chelsea, London, Greater London, England, SW3 5UA, United Kingdom","(51.4875167, -0.1687007, 0.0)",51.4875167,-0.1687007
Earlsfield,Wandsworth,LONDON,TQ265735,SW18,"Wandsworth, London, Greater London, England, SW18 1UJ, United Kingdom","(51.4570271, -0.1932607, 0.0)",51.4570271,-0.1932607
East Dulwich,Southwark,LONDON,TQ345745,SE22,"Southwark, London Borough of Southwark, London, Greater London, England, SE1 0QB, United Kingdom","(51.5029222, -0.103458, 0.0)",51.5029222,-0.103458
East Finchley,Barnet,LONDON,TQ265895,N2,"Chipping Barnet, London, Greater London, England, EN5 5SB, United Kingdom","(51.65309, -0.2002261, 0.0)",51.65309,-0.2002261
East Ham,Newham,LONDON,TQ425835,E6,"London Borough of Newham, London, Greater London, England, United Kingdom","(51.52999955, 0.02931796029382208, 0.0)",51.52999955,0.02931796
East Sheen,Richmond upon Thames,LONDON,TQ205755,SW14,"London Borough of Richmond upon Thames, London, Greater London, England, United Kingdom","(51.4405529, -0.3076394377337949, 0.0)",51.4405529,-0.307639438
Edmonton,Enfield,LONDON,TQ335925,N9,"Enfield, London, Greater London, England, EN2 6LD, United Kingdom","(51.6520851, -0.0810175, 0.0)",51.6520851,-0.0810175
Edmonton,Enfield,LONDON,TQ335925,N18,"Enfield, London, Greater London, England, EN2 6LD, United Kingdom","(51.6520851, -0.0810175, 0.0)",51.6520851,-0.0810175
Elephant and Castle,Southwark,LONDON,TQ319789,SE1,"Southwark, London Borough of Southwark, London, Greater London, England, SE1 0QB, United Kingdom","(51.5029222, -0.103458, 0.0)",51.5029222,-0.103458
Elephant and Castle,Southwark,LONDON,TQ319789,SE11,"Southwark, London Borough of Southwark, London, Greater London, England, SE1 0QB, United Kingdom","(51.5029222, -0.103458, 0.0)",51.5029222,-0.103458
Elephant and Castle,Southwark,LONDON,TQ319789,SE17,"Southwark, London Borough of Southwark, London, Greater London, England, SE1 0QB, United Kingdom","(51.5029222, -0.103458, 0.0)",51.5029222,-0.103458
Eltham,Greenwich,LONDON,TQ425745,SE9,"Greenwich, London, Greater London, England, SE10 9HF, United Kingdom","(51.4820845, -0.0045417, 0.0)",51.4820845,-0.0045417
Falconwood,"Bexley, Greenwich","LONDON, WELLING",TQ455755,SE9,"Bexley Road, Avery Hill, Royal Borough of Greenwich, London, Greater London, England, SE9 2PR, United Kingdom","(51.4510531, 0.0790997, 0.0)",51.4510531,0.0790997
Falconwood,"Bexley, Greenwich","LONDON, WELLING",TQ455755,DA16,"Bexley Road, Avery Hill, Royal Borough of Greenwich, London, Greater London, England, SE9 2PR, United Kingdom","(51.4510531, 0.0790997, 0.0)",51.4510531,0.0790997
Farringdon,"Islington, City",LONDON,TQ315818,EC1,"City, University of London, Wynyatt Street, Clerkenwell Green, Clerkenwell, London Borough of Islington, London, Greater London, England, EC1V 4PA, United Kingdom","(51.527680700000005, -0.10356990871095317, 0.0)",51.5276807,-0.103569909
Finchley,Barnet,LONDON,TQ255905,N2,"Chipping Barnet, London, Greater London, England, EN5 5SB, United Kingdom","(51.65309, -0.2002261, 0.0)",51.65309,-0.2002261
Finchley,Barnet,LONDON,TQ255905,N3,"Chipping Barnet, London, Greater London, England, EN5 5SB, United Kingdom","(51.65309, -0.2002261, 0.0)",51.65309,-0.2002261
Finchley,Barnet,LONDON,TQ255905,N12,"Chipping Barnet, London, Greater London, England, EN5 5SB, United Kingdom","(51.65309, -0.2002261, 0.0)",51.65309,-0.2002261
Finsbury,Islington,LONDON,TQ315825,EC1,"Islington, London, Greater London, England, N1, United Kingdom","(51.5384287, -0.0999051, 0.0)",51.5384287,-0.0999051
Finsbury Park,"Haringey, Islington",LONDON,TQ314872,N4,"St Pancras and Islington Cemetery, Friern Barnet, London Borough of Barnet, London, Greater London, England, United Kingdom","(51.60068015, -0.16456612489535521, 0.0)",51.60068015,-0.164566125
Fitzrovia,Camden,LONDON,TQ293816,W1,"Camden, Camden County, New Jersey, United States","(39.9448402, -75.1198911, 0.0)",39.9448402,-75.1198911
Forest Gate,Newham,LONDON,TQ405855,E7,"London Borough of Newham, London, Greater London, England, United Kingdom","(51.52999955, 0.02931796029382208, 0.0)",51.52999955,0.02931796
Forest Hill,Lewisham,LONDON,TQ354736,SE23,"Lewisham, London, Greater London, England, SE13 6BB, United Kingdom","(51.4624325, -0.0101331, 0.0)",51.4624325,-0.0101331
