Location,Borough,Town,OS,Postalcode,location,point,latitude,longitude
Fortis Green,Haringey,LONDON,TQ281896,N10,"London Borough of Haringey, London, Greater London, England, United Kingdom","(51.587929849999995, -0.10541010599099046, 0.0)",51.58792985,-0.105410106
Friern Barnet,Barnet,LONDON,TQ276920,N11,"Chipping Barnet, London, Greater London, England, EN5 5SB, United Kingdom","(51.65309, -0.2002261, 0.0)",51.65309,-0.2002261
Frognal,Camden,LONDON,TQ257853,NW3,"Camden, Camden County, New Jersey, United States","(39.9448402, -75.1198911, 0.0)",39.9448402,-75.1198911
Fulham,Hammersmith and Fulham,LONDON,TQ245765,SW6,"Hammersmith, London, Greater London, England, W6 9YA, United Kingdom","(51.4920377, -0.2236401, 0.0)",51.4920377,-0.2236401
Gipsy Hill,Lambeth,LONDON,TQ332710,SE19,"Lambeth, London Borough of Lambeth, London, Greater London, England, SE1 7GD, United Kingdom","(51.5013012, -0.117287, 0.0)",51.5013012,-0.117287
Gipsy Hill,Lambeth,LONDON,TQ332710,SE27,"Lambeth, London Borough of Lambeth, London, Greater London, England, SE1 7GD, United Kingdom","(51.5013012, -0.117287, 0.0)",51.5013012,-0.117287
Golders Green,Barnet,LONDON,TQ248876,NW11,"Chipping Barnet, London, Greater London, England, EN5 5SB, United Kingdom","(51.65309, -0.2002261, 0.0)",51.65309,-0.2002261
Gospel Oak,Camden,LONDON,TQ285855,NW5,"Camden, Camden County, New Jersey, United States","(39.9448402, -75.1198911, 0.0)",39.9448402,-75.1198911
Gospel Oak,Camden,LONDON,TQ285855,NW3,"Camden, Camden County, New Jersey, United States","(39.9448402, -75.1198911, 0.0)",39.9448402,-75.1198911
Grahame Park,Barnet,LONDON,TQ217905,NW9,"Chipping Barnet, London, Greater London, England, EN5 5SB, United Kingdom","(51.65309, -0.2002261, 0.0)",51.65309,-0.2002261
Grange Park,Enfield,LONDON,TQ313962,N21,"Enfield, London, Greater London, England, EN2 6LD, United Kingdom","(51.6520851, -0.0810175, 0.0)",51.6520851,-0.0810175
Greenwich,Greenwich,LONDON,TQ395775,SE10,"Greenwich, London, Greater London, England, SE10 9HF, United Kingdom","(51.4820845, -0.0045417, 0.0)",51.4820845,-0.0045417
Grove Park,Hounslow,LONDON,TQ205775,W4,"Hounslow, London, Greater London, England, TW3 1BL, United Kingdom","(51.4686132, -0.3613471, 0.0)",51.4686132,-0.3613471
Grove Park,Lewisham,LONDON,TQ404722,SE12,"Lewisham, London, Greater London, England, SE13 6BB, United Kingdom","(51.4624325, -0.0101331, 0.0)",51.4624325,-0.0101331
Gunnersbury,Hounslow,LONDON,TQ195785,W4,"Hounslow, London, Greater London, England, TW3 1BL, United Kingdom","(51.4686132, -0.3613471, 0.0)",51.4686132,-0.3613471
Hackney,Hackney,LONDON,TQ345845,E5,"Hackney, London, Greater London, England, E9 6QW, United Kingdom","(51.5432402, -0.0493621, 0.0)",51.5432402,-0.0493621
Hackney,Hackney,LONDON,TQ345845,E8,"Hackney, London, Greater London, England, E9 6QW, United Kingdom","(51.5432402, -0.0493621, 0.0)",51.5432402,-0.0493621
Hackney,Hackney,LONDON,TQ345845,E9,"Hackney, London, Greater London, England, E9 6QW, United Kingdom","(51.5432402, -0.0493621, 0.0)",51.5432402,-0.0493621
Hackney,Hackney,LONDON,TQ345845,N1,"Hackney, London, Greater London, England, E9 6QW, United Kingdom","(51.5432402, -0.0493621, 0.0)",51.5432402,-0.0493621
Hackney,Hackney,LONDON,TQ345845,N16,"Hackney, London, Greater London, England, E9 6QW, United Kingdom","(51.5432402, -0.0493621, 0.0)",51.5432402,-0.0493621
Hackney Central,Hackney,LONDON,TQ347850,E8,"Hackney, London, Greater London, England, E9 6QW, United Kingdom","(51.5432402, -0.0493621, 0.0)",51.5432402,-0.0493621
Hackney Marshes,Hackney,LONDON,TQ365861,E9,"Hackney, London, Greater London, England, E9 6QW, United Kingdom","(51.5432402, -0.0493621, 0.0)",51.5432402,-0.0493621
Hackney Wick,Hackney,LONDON,TQ369847,E9,"Hackney, London, Greater London, England, E9 6QW, United Kingdom","(51.5432402, -0.0493621, 0.0)",51.5432402,-0.0493621
Haggerston,Hackney,LONDON,TQ335835,E2,"Hackney, London, Greater London, England, E9 6QW, United Kingdom","(51.5432402, -0.0493621, 0.0)",51.5432402,-0.0493621
The Hale,Barnet,LONDON,TQ205918,NW7,"Chipping Barnet, London, Greater London, England, EN5 5SB, United Kingdom","(51.65309, -0.2002261, 0.0)",51.65309,-0.2002261
Hammersmith,Hammersmith and Fulham,LONDON,TQ233786,W6,"Hammersmith, London, Greater London, England, W6 9YA, United Kingdom","(51.4920377, -0.2236401, 0.0)",51.4920377,-0.2236401
Hampstead,Camden,LONDON,TQ265855,NW3,"Camden, Camden County, New Jersey, United States","(39.9448402, -75.1198911, 0.0)",39.9448402,-75.1198911
Hampstead Garden Suburb,Barnet,LONDON,TQ265885,N2,"Chipping Barnet, London, Greater London, England, EN5 5SB, United Kingdom","(51.65309, -0.2002261, 0.0)",51.65309,-0.2002261
Hanwell,Ealing,LONDON,TQ153802,W7,"Ealing, London, Greater London, England, W5 5DG, United Kingdom","(51.5126553, -0.3051952, 0.0)",51.5126553,-0.3051952
Harlesden,Brent,LONDON,TQ215835,NW10,"Brent, Bibb County, Alabama, 35034, United States","(32.9373463, -87.1647184, 0.0)",32.9373463,-87.1647184
Harringay,Haringey,LONDON,TQ317887,N4,"London Borough of Haringey, London, Greater London, England, United Kingdom","(51.587929849999995, -0.10541010599099046, 0.0)",51.58792985,-0.105410106
Harringay,Haringey,LONDON,TQ317887,N8,"London Borough of Haringey, London, Greater London, England, United Kingdom","(51.587929849999995, -0.10541010599099046, 0.0)",51.58792985,-0.105410106
Harringay,Haringey,LONDON,TQ317887,N15,"London Borough of Haringey, London, Greater London, England, United Kingdom","(51.587929849999995, -0.10541010599099046, 0.0)",51.58792985,-0.105410106
Hendon,Barnet,LONDON,TQ229887,NW4,"Chipping Barnet, London, Greater London, England, EN5 5SB, United Kingdom","(51.65309, -0.2002261, 0.0)",51.65309,-0.2002261
Herne Hill,Lambeth,LONDON,TQ325745,SE24,"Lambeth, London Borough of Lambeth, London, Greater London, England, SE1 7GD, United Kingdom","(51.5013012, -0.117287, 0.0)",51.5013012,-0.117287
Highams Park,Waltham Forest,LONDON,TQ375915,E4,"The Forest, Upper Walthamstow, London Borough of Waltham Forest, London, Greater London, England, E17, United Kingdom","(51.5851424, 0.009494, 0.0)",51.5851424,0.009494
Highbury,Islington,LONDON,TQ319854,N5,"Islington, London, Greater London, England, N1, United Kingdom","(51.5384287, -0.0999051, 0.0)",51.5384287,-0.0999051
Highgate,Camden,LONDON,TQ285875,N6,"Camden, Camden County, New Jersey, United States","(39.9448402, -75.1198911, 0.0)",39.9448402,-75.1198911
Hither Green,Lewisham,LONDON,TQ395745,SE13,"Lewisham, London, Greater London, England, SE13 6BB, United Kingdom","(51.4624325, -0.0101331, 0.0)",51.4624325,-0.0101331
Holborn,Camden,LONDON,TQ305815,WC1,"Camden, Camden County, New Jersey, United States","(39.9448402, -75.1198911, 0.0)",39.9448402,-75.1198911
Holborn,Camden,LONDON,TQ305815,WC2,"Camden, Camden County, New Jersey, United States","(39.9448402, -75.1198911, 0.0)",39.9448402,-75.1198911
Holland Park,Kensington and Chelsea,LONDON,TQ246798,W8,"Chelsea, Royal Borough of Kensington and Chelsea, London, Greater London, England, SW3 5UA, United Kingdom","(51.4875167, -0.1687007, 0.0)",51.4875167,-0.1687007
Holland Park,Kensington and Chelsea,LONDON,TQ246798,W11,"Chelsea, Royal Borough of Kensington and Chelsea, London, Greater London, England, SW3 5UA, United Kingdom","(51.4875167, -0.1687007, 0.0)",51.4875167,-0.1687007
Holland Park,Kensington and Chelsea,LONDON,TQ246798,W14,"Chelsea, Royal Borough of Kensington and Chelsea, London, Greater London, England, SW3 5UA, United Kingdom","(51.4875167, -0.1687007, 0.0)",51.4875167,-0.1687007
Holloway,Islington,LONDON,TQ307859,N7,"Islington, London, Greater London, England, N1, United Kingdom","(51.5384287, -0.0999051, 0.0)",51.5384287,-0.0999051
Homerton,Hackney,LONDON,TQ355855,E9,"Hackney, London, Greater London, England, E9 6QW, United Kingdom","(51.5432402, -0.0493621, 0.0)",51.5432402,-0.0493621
Honor Oak,Lewisham,LONDON,TQ355745,SE23,"Lewisham, London, Greater London, England, SE13 6BB, United Kingdom","(51.4624325, -0.0101331, 0.0)",51.4624325,-0.0101331
Horn Park,"Greenwich, Lewisham",LONDON,TQ408739,SE12,"Greenwich House, Hither Green, London Borough of Lewisham, London, Greater London, England, SE13 6TL, United Kingdom","(51.4482304, -0.0023172, 0.0)",51.4482304,-0.0023172
Hornsey,Haringey,LONDON,TQ305895,N8,"London Borough of Haringey, London, Greater London, England, United Kingdom","(51.587929849999995, -0.10541010599099046, 0.0)",51.58792985,-0.105410106
Hoxton,Hackney,LONDON,TQ335835,N1,"Hackney, London, Greater London, England, E9 6QW, United Kingdom","(51.5432402, -0.0493621, 0.0)",51.5432402,-0.0493621
The Hyde,Barnet,LONDON,TQ215888,NW9,"Chipping Barnet, London, Greater London, England, EN5 5SB, United Kingdom","(51.65309, -0.2002261, 0.0)",51.65309,-0.2002261
Isle of Dogs,Tower Hamlets,LONDON,TQ375785,E14,"Tower Hamlets, Dover, Kent, South East England, England, CT17 0BH, United Kingdom","(51.1288633, 1.2986686, 0.0)",51.1288633,1.2986686
Islington,Islington,LONDON,TQ315845,N1,"Islington, London, Greater London, England, N1, United Kingdom","(51.5384287, -0.0999051, 0.0)",51.5384287,-0.0999051
Kennington,"Lambeth, Southwark",LONDON,TQ305775,SE11,"Southwark, Joan Street, South Bank, Lambeth, London Borough of Southwark, London, Greater London, England, SE1 8JZ, United Kingdom","(51.5040996, -0.1050541, 0.0)",51.5040996,-0.1050541
Kensal Green,Brent,LONDON,TQ235825,NW10,"Brent, Bibb County, Alabama, 35034, United States","(32.9373463, -87.1647184, 0.0)",32.9373463,-87.1647184
Kensal Green,Brent,LONDON,TQ235825,NW6,"Brent, Bibb County, Alabama, 35034, United States","(32.9373463, -87.1647184, 0.0)",32.9373463,-87.1647184
Kensington,Kensington and Chelsea,LONDON,TQ255795,SW7,"Chelsea, Royal Borough of Kensington and Chelsea, London, Greater London, England, SW3 5UA, United Kingdom","(51.4875167, -0.1687007, 0.0)",51.4875167,-0.1687007
Kentish Town,Camden,LONDON,TQ285845,NW5,"Camden, Camden County, New Jersey, United States","(39.9448402, -75.1198911, 0.0)",39.9448402,-75.1198911
Kenton,"Brent, Harrow","HARROW, LONDON",TQ175885,HA3,"Sudbury & Harrow Road, Sudbury Crescent, North Wembley, London Borough of Brent, London, Greater London, England, HA0 2LZ, United Kingdom","(51.5543503, -0.3161206, 0.0)",51.5543503,-0.3161206
Kidbrooke,Greenwich,LONDON,TQ415765,SE3,"Greenwich, London, Greater London, England, SE10 9HF, United Kingdom","(51.4820845, -0.0045417, 0.0)",51.4820845,-0.0045417
Kilburn,"Brent, Camden",LONDON,TQ245835,NW6,"Brent, San Antonio, Bexar County, Texas, 78223, United States","(29.3770085, -98.4512152, 0.0)",29.3770085,-98.4512152
King's Cross,"Camden, Islington",LONDON,TQ301834,WC1,"Camden Road Open Space, Holloway, London Borough of Islington, London, Greater London, England, United Kingdom","(51.55523945, -0.11809731407678245, 0.0)",51.55523945,-0.118097314
Kingsbury,Brent,LONDON,TQ195885,NW9,"Brent, Bibb County, Alabama, 35034, United States","(32.9373463, -87.1647184, 0.0)",32.9373463,-87.1647184
Kingston Vale,Kingston upon Thames,LONDON,TQ215715,SW15,"Kingston upon Thames, London, Greater London, England, KT1 1JS, United Kingdom","(51.4096275, -0.3062621, 0.0)",51.4096275,-0.3062621
Knightsbridge,Westminster,LONDON,TQ275795,SW1,"Westminster, Millbank, City of Westminster, London, Greater London, England, SW1P 3JX, United Kingdom","(51.5004439, -0.1265398, 0.0)",51.5004439,-0.1265398
Ladywell,Lewisham,LONDON,TQ37777459,SE4,"Lewisham, London, Greater London, England, SE13 6BB, United Kingdom","(51.4624325, -0.0101331, 0.0)",51.4624325,-0.0101331
Ladywell,Lewisham,LONDON,TQ37777459,SE13,"Lewisham, London, Greater London, England, SE13 6BB, United Kingdom","(51.4624325, -0.0101331, 0.0)",51.4624325,-0.0101331
Lambeth,Lambeth,LONDON,TQ305785,SE1,"Lambeth, London Borough of Lambeth, London, Greater London, England, SE1 7GD, United Kingdom","(51.5013012, -0.117287, 0.0)",51.5013012,-0.117287
Lea Bridge,Hackney,LONDON,TQ355865,E10,"Hackney, London, Greater London, England, E9 6QW, United Kingdom","(51.5432402, -0.0493621, 0.0)",51.5432402,-0.0493621
Leamouth,Tower Hamlets,LONDON,TQ394807,E14,"Tower Hamlets, Dover, Kent, South East England, England, CT17 0BH, United Kingdom","(51.1288633, 1.2986686, 0.0)",51.1288633,1.2986686
Lee,Lewisham,LONDON,TQ395745,SE12,"Lewisham, London, Greater London, England, SE13 6BB, United Kingdom","(51.4624325, -0.0101331, 0.0)",51.4624325,-0.0101331
Lewisham,Lewisham,LONDON,TQ385755,SE13,"Lewisham, London, Greater London, England, SE13 6BB, United Kingdom","(51.4624325, -0.0101331, 0.0)",51.4624325,-0.0101331
Leyton,Waltham Forest,LONDON,TQ375865,E10,"The Forest, Upper Walthamstow, London Borough of Waltham Forest, London, Greater London, England, E17, United Kingdom","(51.5851424, 0.009494, 0.0)",51.5851424,0.009494
Leyton,Waltham Forest,LONDON,TQ375865,E15,"The Forest, Upper Walthamstow, London Borough of Waltham Forest, London, Greater London, England, E17, United Kingdom","(51.5851424, 0.009494, 0.0)",51.5851424,0.009494
Leytonstone,Waltham Forest,LONDON,TQ395875,E11,"The Forest, Upper Walthamstow, London Borough of Waltham Forest, London, Greater London, England, E17, United Kingdom","(51.5851424, 0.009494, 0.0)",51.5851424,0.009494
Limehouse,Tower Hamlets,LONDON,TQ365815,E14,"Tower Hamlets, Dover, Kent, South East England, England, CT17 0BH, United Kingdom","(51.1288633, 1.2986686, 0.0)",51.1288633,1.2986686
Lisson Grove,Westminster,LONDON,TQ275825,NW8,"Westminster, Millbank, City of Westminster, London, Greater London, England, SW1P 3JX, United Kingdom","(51.5004439, -0.1265398, 0.0)",51.5004439,-0.1265398
Little Ilford,Newham,LONDON,TQ435855,E12,"London Borough of Newham, London, Greater London, England, United Kingdom","(51.52999955, 0.02931796029382208, 0.0)",51.52999955,0.02931796
Little Venice,Westminster,LONDON,TQ262818,W9,"Westminster, Millbank, City of Westminster, London, Greater London, England, SW1P 3JX, United Kingdom","(51.5004439, -0.1265398, 0.0)",51.5004439,-0.1265398
Little Venice,Westminster,LONDON,TQ262818,W2,"Westminster, Millbank, City of Westminster, London, Greater London, England, SW1P 3JX, United Kingdom","(51.5004439, -0.1265398, 0.0)",51.5004439,-0.1265398
Longlands,Bexley,"LONDON, SIDCUP",TQ449722,SE9,"Bexley, Franklin County, Ohio, 43209, United States","(39.9692378, -82.936864, 0.0)",39.9692378,-82.936864
Longlands,Bexley,"LONDON, SIDCUP",TQ449722,DA14,"Bexley, Franklin County, Ohio, 43209, United States","(39.9692378, -82.936864, 0.0)",39.9692378,-82.936864
Longlands,Bexley,"LONDON, SIDCUP",TQ449722,DA15,"Bexley, Franklin County, Ohio, 43209, United States","(39.9692378, -82.936864, 0.0)",39.9692378,-82.936864
Lower Clapton,Hackney,LONDON,TQ355855,E5,"Hackney, London, Greater London, England, E9 6QW, United Kingdom","(51.5432402, -0.0493621, 0.0)",51.5432402,-0.0493621
Maida Vale,Westminster,LONDON,TQ255825,W9,"Westminster, Millbank, City of Westminster, London, Greater London, England, SW1P 3JX, United Kingdom","(51.5004439, -0.1265398, 0.0)",51.5004439,-0.1265398
Manor House,Hackney,LONDON,TQ320876,N4,"Hackney, London, Greater London, England, E9 6QW, United Kingdom","(51.5432402, -0.0493621, 0.0)",51.5432402,-0.0493621
Manor Park,Newham,LONDON,TQ425855,E12,"London Borough of Newham, London, Greater London, England, United Kingdom","(51.52999955, 0.02931796029382208, 0.0)",51.52999955,0.02931796
Maryland,Newham,LONDON,TQ391849,E15,"London Borough of Newham, London, Greater London, England, United Kingdom","(51.52999955, 0.02931796029382208, 0.0)",51.52999955,0.02931796
Marylebone (also St Marylebone),Westminster,LONDON,TQ285815,W1,"Westminster, Millbank, City of Westminster, London, Greater London, England, SW1P 3JX, United Kingdom","(51.5004439, -0.1265398, 0.0)",51.5004439,-0.1265398
Mayfair,Westminster,LONDON,TQ285805,W1,"Westminster, Millbank, City of Westminster, London, Greater London, England, SW1P 3JX, United Kingdom","(51.5004439, -0.1265398, 0.0)",51.5004439,-0.1265398
Maze Hill,Greenwich,LONDON,TQ402780,SE10,"Greenwich, London, Greater London, England, SE10 9HF, United Kingdom","(51.4820845, -0.0045417, 0.0)",51.4820845,-0.0045417
Merton Park,Merton,LONDON,TQ250695,SW19,"London Borough of Merton, London, Greater London, England, United Kingdom","(51.41086985, -0.18809708858824303, 0.0)",51.41086985,-0.188097089
Middle Park,Greenwich,LONDON,TQ417738,SE9,"Greenwich, London, Greater London, England, SE10 9HF, United Kingdom","(51.4820845, -0.0045417, 0.0)",51.4820845,-0.0045417
Mile End,Tower Hamlets,LONDON,TQ365825,E1,"Tower Hamlets, Dover, Kent, South East England, England, CT17 0BH, United Kingdom","(51.1288633, 1.2986686, 0.0)",51.1288633,1.2986686
Mill Hill,Barnet,LONDON,TQ225925,NW7,"Chipping Barnet, London, Greater London, England, EN5 5SB, United Kingdom","(51.65309, -0.2002261, 0.0)",51.65309,-0.2002261
Millbank,Westminster,LONDON,TQ295795,SW1,"Westminster, Millbank, City of Westminster, London, Greater London, England, SW1P 3JX, United Kingdom","(51.5004439, -0.1265398, 0.0)",51.5004439,-0.1265398
Millwall,Tower Hamlets,LONDON,TQ375785,E14,"Tower Hamlets, Dover, Kent, South East England, England, CT17 0BH, United Kingdom","(51.1288633, 1.2986686, 0.0)",51.1288633,1.2986686
Mortlake,Richmond upon Thames,LONDON,TQ205755,SW14,"London Borough of Richmond upon Thames, London, Greater London, England, United Kingdom","(51.4405529, -0.3076394377337949, 0.0)",51.4405529,-0.307639438
Mottingham,Bromley,LONDON,TQ415725,SE9,"Bromley, London, Greater London, England, BR1 1EY, United Kingdom","(51.4028046, 0.0148142, 0.0)",51.4028046,0.0148142
Muswell Hill,"Haringey, Barnet",LONDON,TQ287897,N10,"Barnet Brake & Clutch Services, Myddleton Road, London Borough of Haringey, London, Greater London, England, N22 8NE, United Kingdom","(51.606551, -0.118848, 0.0)",51.606551,-0.118848
Neasden,Brent,LONDON,TQ215855,NW2,"Brent, Bibb County, Alabama, 35034, United States","(32.9373463, -87.1647184, 0.0)",32.9373463,-87.1647184
Neasden,Brent,LONDON,TQ215855,NW10,"Brent, Bibb County, Alabama, 35034, United States","(32.9373463, -87.1647184, 0.0)",32.9373463,-87.1647184
New Cross,Lewisham,LONDON,TQ365765,SE14,"Lewisham, London, Greater London, England, SE13 6BB, United Kingdom","(51.4624325, -0.0101331, 0.0)",51.4624325,-0.0101331
New Eltham,Greenwich,LONDON,TQ440730,SE9,"Greenwich, London, Greater London, England, SE10 9HF, United Kingdom","(51.4820845, -0.0045417, 0.0)",51.4820845,-0.0045417
New Southgate,Barnet,LONDON,TQ295925,N11,"Chipping Barnet, London, Greater London, England, EN5 5SB, United Kingdom","(51.65309, -0.2002261, 0.0)",51.65309,-0.2002261
Newington,Southwark,LONDON,TQ325795,SE1,"Southwark, London Borough of Southwark, London, Greater London, England, SE1 0QB, United Kingdom","(51.5029222, -0.103458, 0.0)",51.5029222,-0.103458
Newington,Southwark,LONDON,TQ325795,SE17,"Southwark, London Borough of Southwark, London, Greater London, England, SE1 0QB, United Kingdom","(51.5029222, -0.103458, 0.0)",51.5029222,-0.103458
Nine Elms,Wandsworth,LONDON,TQ295775,SW8,"Wandsworth, London, Greater London, England, SW18 1UJ, United Kingdom","(51.4570271, -0.1932607, 0.0)",51.4570271,-0.1932607
Norbury,Croydon,LONDON,TQ315695,SW16,"Croydon, London, Greater London, England, CR0 1SZ, United Kingdom","(51.3713049, -0.101957, 0.0)",51.3713049,-0.101957
North Finchley,Barnet,LONDON,TQ265925,N12,"Chipping Barnet, London, Greater London, England, EN5 5SB, United Kingdom","(51.65309, -0.2002261, 0.0)",51.65309,-0.2002261
North Kensington,Kensington and Chelsea,LONDON,TQ239821,W10,"Chelsea, Royal Borough of Kensington and Chelsea, London, Greater London, England, SW3 5UA, United Kingdom","(51.4875167, -0.1687007, 0.0)",51.4875167,-0.1687007
North Kensington,Kensington and Chelsea,LONDON,TQ239821,W11,"Chelsea, Royal Borough of Kensington and Chelsea, London, Greater London, England, SW3 5UA, United Kingdom","(51.4875167, -0.1687007, 0.0)",51.4875167,-0.1687007
North Woolwich,Newham,LONDON,TQ435795,E16,"London Borough of Newham, London, Greater London, England, United Kingdom","(51.52999955, 0.02931796029382208, 0.0)",51.52999955,0.02931796
Notting Hill,Kensington and Chelsea,LONDON,TQ245805,W11,"Chelsea, Royal Borough of Kensington and Chelsea, London, Greater London, England, SW3 5UA, United Kingdom","(51.4875167, -0.1687007, 0.0)",51.4875167,-0.1687007
Nunhead,Southwark,LONDON,TQ355755,SE15,"Southwark, London Borough of Southwark, London, Greater London, England, SE1 0QB, United Kingdom","(51.5029222, -0.103458, 0.0)",51.5029222,-0.103458
Oakleigh Park,Barnet,LONDON,TQ265935,N20,"Chipping Barnet, London, Greater London, England, EN5 5SB, United Kingdom","(51.65309, -0.2002261, 0.0)",51.65309,-0.2002261
Old Ford,Tower Hamlets,LONDON,TQ365835,E3,"Tower Hamlets, Dover, Kent, South East England, England, CT17 0BH, United Kingdom","(51.1288633, 1.2986686, 0.0)",51.1288633,1.2986686
Old Oak Common,Hammersmith and Fulham,LONDON,TQ216823,NW10,"Hammersmith, London, Greater London, England, W6 9YA, United Kingdom","(51.4920377, -0.2236401, 0.0)",51.4920377,-0.2236401
Osidge,Barnet,LONDON,TQ285945,N14,"Chipping Barnet, London, Greater London, England, EN5 5SB, United Kingdom","(51.65309, -0.2002261, 0.0)",51.65309,-0.2002261
Oval,Lambeth,LONDON,TQ315575,SW8,"Lambeth, London Borough of Lambeth, London, Greater London, England, SE1 7GD, United Kingdom","(51.5013012, -0.117287, 0.0)",51.5013012,-0.117287
Oval,Lambeth,LONDON,TQ315575,SW9,"Lambeth, London Borough of Lambeth, London, Greater London, England, SE1 7GD, United Kingdom","(51.5013012, -0.117287, 0.0)",51.5013012,-0.117287
Oval,Lambeth,LONDON,TQ315575,SE11,"Lambeth, London Borough of Lambeth, London, Greater London, England, SE1 7GD, United Kingdom","(51.5013012, -0.117287, 0.0)",51.5013012,-0.117287
Paddington,Westminster,LONDON,TQ267814,W2,"Westminster, Millbank, City of Westminster, London, Greater London, England, SW1P 3JX, United Kingdom","(51.5004439, -0.1265398, 0.0)",51.5004439,-0.1265398
Palmers Green,Enfield,LONDON,TQ305935,N13,"Enfield, London, Greater London, England, EN2 6LD, United Kingdom","(51.6520851, -0.0810175, 0.0)",51.6520851,-0.0810175
Park Royal,"Brent, Ealing",LONDON,TQ195828,NW10,"River Brent Business Park, Hanwell, London Borough of Ealing, London, Greater London, England, United Kingdom","(51.499327050000005, -0.3388955643556247, 0.0)",51.49932705,-0.338895564
Parsons Green,Hammersmith and Fulham,LONDON,TQ255765,SW6,"Hammersmith, London, Greater London, England, W6 9YA, United Kingdom","(51.4920377, -0.2236401, 0.0)",51.4920377,-0.2236401
Peckham,Southwark,LONDON,TQ345765,SE15,"Southwark, London Borough of Southwark, London, Greater London, England, SE1 0QB, United Kingdom","(51.5029222, -0.103458, 0.0)",51.5029222,-0.103458
Penge,Bromley,LONDON,TQ345705,SE20,"Bromley, London, Greater London, England, BR1 1EY, United Kingdom","(51.4028046, 0.0148142, 0.0)",51.4028046,0.0148142
Pentonville,Islington,LONDON,TQ311830,N1,"Islington, London, Greater London, England, N1, United Kingdom","(51.5384287, -0.0999051, 0.0)",51.5384287,-0.0999051
